UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
deel onderwijsprogramma vo ontheffing,http://standaarden.overheid.nl/owms/terms/deelOnderwProgrVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Inrichtingsbesluit_WVO_art_26n,Artikel 26n Inrichtingsbesluit WVO,https://wetten.overheid.nl/jci1.3:c:BWBR0005946&hoofdstuk=III&Paragraaf=3&artikel=26n
delfstoffenvergunning,http://standaarden.overheid.nl/owms/terms/delfstverg,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mijnbouwwet_art_6,Artikel 6 Mijnbouwwet,https://wetten.overheid.nl/jci1.3:c:BWBR0014168&hoofdstuk=2&Paragraaf=2.1&artikel=6
depositogarantiestelsel,http://standaarden.overheid.nl/owms/terms/depositogarantiestelsel,X,,,,X,X,,H2,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wft_art_3_259,Artikel 3:259 Wet op het financieel toezicht,https://wetten.overheid.nl/jci1.3:c:BWBR0020368&titeldeel=3&hoofdstuk=3.5&afdeling=3.5.6&Paragraaf=3.5.6.1&artikel=3:259
detentie melding zorgverzekeraar,http://standaarden.overheid.nl/owms/terms/detentieMeldZorgVerz,X,,,,X,X,,F1,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Zvw_art_24,Artikel 24 Zorgverzekeringswet,https://wetten.overheid.nl/jci1.3:c:BWBR0018450&hoofdstuk=3&Paragraaf=3.6&artikel=24
deurwaardersbenoeming,http://standaarden.overheid.nl/owms/terms/deurwben,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/GDW_art_4,Artikel 4 Gerechtsdeurwaarderswet,https://wetten.overheid.nl/jci1.3:c:BWBR0012197&hoofdstuk=II&Paragraaf=2&artikel=4
dienstplicht ontheffing,http://standaarden.overheid.nl/owms/terms/dienstplOnth,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Kwd_art_13,Artikel 13 Kaderwet dienstplicht,https://wetten.overheid.nl/jci1.3:c:BWBR0008589&hoofdstuk=1&Paragraaf=5&artikel=13
dienstplicht uitstel,http://standaarden.overheid.nl/owms/terms/dienstplUitst,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Kwd_art_12,Artikel 12 Kaderwet dienstplicht,https://wetten.overheid.nl/jci1.3:c:BWBR0008589&hoofdstuk=1&Paragraaf=5&artikel=12
dienstverlening op of aan de openbare weg vergunning,http://standaarden.overheid.nl/owms/terms/dienstverlening_op_of_aan_de_openbare_weg_vergunning,,,,X,X,X,X,,X,,X,,,,,,,
dierenhoudenontheffing,http://standaarden.overheid.nl/owms/terms/dierenhOnth,,,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_60,Artikel 2:60 Model Algemene plaatselijke verordening,
dierenopvang,http://standaarden.overheid.nl/owms/terms/dierenopvang,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_5_art_8,Artikel 8 Burgerlijk Wetboek Boek 5,https://wetten.overheid.nl/jci1.3:c:BWBR0005288&boek=5&titeldeel=2&artikel=8
dierenregistratiedocument,http://standaarden.overheid.nl/owms/terms/dierenregDoc,X,,,,,X,X,,,,X,,X,,,http://standaarden.overheid.nl/owms/terms/Reg_id_reg_dieren,Regeling identificatie en registratie van dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0014538
dierententoonstellingsmelding,http://standaarden.overheid.nl/owms/terms/diertentmld,X,,,,,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Besluit_houders_van_dieren_art_3_8,Artikel 3.8 Besluit houders van dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0035217&hoofdstuk=3&Paragraaf=2&artikel=3.8
dierentuinvergunning,http://standaarden.overheid.nl/owms/terms/dierentuinvergunning,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_houders_van_dieren_art_4_2,Artikel 4.2 Besluit houders van dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0035217&hoofdstuk=4&Paragraaf=1&artikel=4.2
dierenvervoersdocument,http://standaarden.overheid.nl/owms/terms/dierenvervDoc,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1_2005_art_4,"Verordening (EG) n r. 1/2005 van de Raad van 22 december 2004 inzake de bescherming van dieren tijdens het vervoer en daarmee samenhangende activiteiten en tot wijziging van de Richtlijnen 64/432/EEG en 93/119/EG en van Verordening (EG) nr. 1255/97, art. 4",https://eur-lex.europa.eu/eli/reg/2005/1/2005-01-25
dierenvervoersvergunning,http://standaarden.overheid.nl/owms/terms/dierenvervVerg,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1_2005_art_10,"Verordening (EG) n r. 1/2005 van de Raad van 22 december 2004 inzake de bescherming van dieren tijdens het vervoer en daarmee samenhangende activiteiten en tot wijziging van de Richtlijnen 64/432/EEG en 93/119/EG en van Verordening (EG) nr. 1255/97, art. 10 en art. 11",https://eur-lex.europa.eu/eli/reg/2005/1/2005-01-25
dierenvervoersvoertuigcertificaat,http://standaarden.overheid.nl/owms/terms/dierenvervVoertCert,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1_2005_art_18,"Verordening (EG) n r. 1/2005 van de Raad van 22 december 2004 inzake de bescherming van dieren tijdens het vervoer en daarmee samenhangende activiteiten en tot wijziging van de Richtlijnen 64/432/EEG en 93/119/EG en van Verordening (EG) nr. 1255/97, art. 18",https://eur-lex.europa.eu/eli/reg/2005/1/2005-01-25
dierproeven instellingsvergunning,http://standaarden.overheid.nl/owms/terms/dierprinstverg,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WOD_art_2,Artikel 2 Wet op de dierproeven,https://wetten.overheid.nl/jci1.3:c:BWBR0003081&Paragraaf=2&artikel=2
digid,http://standaarden.overheid.nl/owms/terms/digid,,,,X,X,,,,,X,,,,,,,,
diplomabeschrijving,http://standaarden.overheid.nl/owms/terms/diplomabeschr,X,,,,X,,,,,,,,,,,,,
diplomaregister,http://standaarden.overheid.nl/owms/terms/diplomaregister,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_reg_onderw_deeln_art_4,Artikel 4 Wet register onderwijsdeelnemers,https://wetten.overheid.nl/jci1.3:c:BWBR0042012&hoofdstuk=2&Paragraaf=2.1&artikel=4
diplomaregister gegevensverstrekking,http://standaarden.overheid.nl/owms/terms/diplRegGegVerstr,,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_reg_onderw_deeln_art_5,Artikel 5 Wet register onderwijsdeelnemers,https://wetten.overheid.nl/jci1.3:c:BWBR0042012&hoofdstuk=2&Paragraaf=2.1&artikel=5
discriminatie klacht,http://standaarden.overheid.nl/owms/terms/discrKlacht,X,,,,X,,,B7,,,,,,,,http://standaarden.overheid.nl/owms/terms/WetCVDRM_art_10,Artikel 10 Wet College voor de rechten van de mens,https://wetten.overheid.nl/jci1.3:c:BWBR0030733&hoofdstuk=2&artikel=10
dividend bronbelastingvermindering,http://standaarden.overheid.nl/owms/terms/divbrbelverm,X,,,,,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_DB_art_11,Artikel 11 Wet op de dividendbelasting 1965,https://wetten.overheid.nl/jci1.3:c:BWBR0002515&hoofdstuk=IV&artikel=11
dividendbelasting,http://standaarden.overheid.nl/owms/terms/dividendbel,X,,,,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_DB_art_1,Artikel 1 Wet op de dividendbelasting 1965,https://wetten.overheid.nl/jci1.3:c:BWBR0002515&hoofdstuk=I&artikel=1
dode-gezelschapsdierenopruiming,http://standaarden.overheid.nl/owms/terms/dodeGezelschDierenOpr,,,,X,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_dieren_art_3_5,Artikel 3.5 Wet dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0030250&hoofdstuk=3&Paragraaf=2&artikel=3.5
donorgegevens kunstmatige bevruchting informatieverzoek,http://standaarden.overheid.nl/owms/terms/donorgegKunstmBevrInfoVerz,X,,,,X,,,F1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WDKB_art_3,Artikel 3 Wet donorgegevens kunstmatige bevruchting,https://wetten.overheid.nl/jci1.3:c:BWBR0013642&Paragraaf=2&artikel=3
doodgeboren kind aangifte,http://standaarden.overheid.nl/owms/terms/doodgeboren_kind_aangifte,,,,X,X,,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_19i,Artikel 19i Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=4&artikel=19i
drinkwateraansluitingsverzoek,http://standaarden.overheid.nl/owms/terms/drwatAanslVerzoek,X,,,,X,X,,H3,,,,,,,,http://standaarden.overheid.nl/owms/terms/DrinkwW_art_8,Artikel 8 Drinkwaterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0026338&hoofdstuk=II&Paragraaf=2&artikel=8
duur prestatiebeurs verlenging,http://standaarden.overheid.nl/owms/terms/duurPrestBeursVerl,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_5_2a,Artikel 5.2a Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=5&Paragraaf=5.1&artikel=5.2a
duur prestatiebeurs verlenging,http://standaarden.overheid.nl/owms/terms/duurPrestBeursVerl,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_5_2c,Artikel 5.2c Wet studiefinanciering 2001,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=5&Paragraaf=5.1&artikel=5.2c
duurzaamheidslening,http://standaarden.overheid.nl/owms/terms/duurzhLening,,,,X,X,X,,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
dwangsom bij niet tijdig beslissen,http://standaarden.overheid.nl/owms/terms/dwangsomNietTijdBesl,X,X,,,X,X,,,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_4_17,Artikel 4:17 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=4&titeldeel=4.1&afdeling=4.1.3&Paragraaf=4.1.3.2&artikel=4:17
dyslexieverklaring,http://standaarden.overheid.nl/owms/terms/dyslexieverklaring,,,,X,X,,,,,X,,,,,,,,
dyslexiezorg,http://standaarden.overheid.nl/owms/terms/dyslexiezorg,,,,X,X,,,,,X,,,,,,,,
echtscheiding inschrijving,http://standaarden.overheid.nl/owms/terms/echtscheiding_inschrijving,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_163,Artikel 163 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=9&afdeling=2&artikel=163
echtscheiding verzoek,http://standaarden.overheid.nl/owms/terms/echtschVerz,X,,,,X,,,G2,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_150,Artikel 150 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=9&afdeling=2&artikel=150
economische ontwikkelingssubsidie,http://standaarden.overheid.nl/owms/terms/economische_ontwikkelingssubsidie,,,,X,,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
eed-energieaudit,http://standaarden.overheid.nl/owms/terms/eedEnergieAudit,,,,X,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Tijd_reg_impl_richtl_energie_art_2,Artikel 2 Tijdelijke regeling implementatie artikelen 8 en 14 Richtlijn energie-efficiëntie,https://wetten.overheid.nl/jci1.3:c:BWBR0036841&Paragraaf=2&artikel=2
eenmalige uitkering veteranen,http://standaarden.overheid.nl/owms/terms/eenmUitkVet,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/UitkTeg2tot5JDTVet_art_2,Artikel 2 Uitkeringswet tegemoetkoming twee tot vijfjarige diensttijd veteranen,https://wetten.overheid.nl/jci1.3:c:BWBR0009197&artikel=2
eg-beroepskwalificaties erkenning,http://standaarden.overheid.nl/owms/terms/egBerKwalErk,X,,,,X,X,,B3,,,X,,,,,http://standaarden.overheid.nl/owms/terms/AlgWetEUBerKwal_art_5,Artikel 5 Algemene wet erkenning EU-beroepskwalificaties,https://wetten.overheid.nl/jci1.3:c:BWBR0023066&hoofdstuk=2&artikel=5
eherkenning,http://standaarden.overheid.nl/owms/terms/eHerkenning,X,X,X,X,,X,,,,,,,,,,,,
eindexamen vo aanpassing,http://standaarden.overheid.nl/owms/terms/eindexVOAanp,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_55,Artikel 55 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=VI&artikel=55
elektriciteit programmaverantwoordelijkheid,http://standaarden.overheid.nl/owms/terms/elecprogverantw,X,,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Electriciteitswet_1998_art_31,Artikel 31 Elektriciteitswet 1998,https://wetten.overheid.nl/jci1.3:c:BWBR0009755&hoofdstuk=3&Paragraaf=5&artikel=31
elektriciteitsaansluitingsverzoek,http://standaarden.overheid.nl/owms/terms/elektrAanslVerzoek,X,,,,X,X,,H3,,,,,,,,http://standaarden.overheid.nl/owms/terms/ElektrW_1988_art_95b,Artikel 95b Elektriciteitswet 1988,https://wetten.overheid.nl/jci1.3:c:BWBR0009755&hoofdstuk=8&Paragraaf=1a&artikel=95b
emancipatiesubsidie,http://standaarden.overheid.nl/owms/terms/emancipatiesubsidie,,X,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
emancipatiesubsidie,http://standaarden.overheid.nl/owms/terms/emancipatiesubsidie,,X,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
energiebesparing eigen huis subsidie,http://standaarden.overheid.nl/owms/terms/energBespEigenHuisSubs,X,,,,X,,,D2,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/SREnergBespEH_art_7,Artikel 7 Subsidieregeling energiebesparing eigen huis,https://wetten.overheid.nl/jci1.3:c:BWBR0038472&hoofdstuk=III&artikel=7
energielabel,http://standaarden.overheid.nl/owms/terms/energielabel,X,,,,X,X,,D2,,,X,,,,,http://standaarden.overheid.nl/owms/terms/RegEnergGeb_art_2,Artikel 2 Regeling energieprestatie gebouwen,https://wetten.overheid.nl/jci1.3:c:BWBR0020921&Paragraaf=2&artikel=2
energiesubsidie,http://standaarden.overheid.nl/owms/terms/energiesubsidie,,,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
epidemiologie,http://standaarden.overheid.nl/owms/terms/epidemiologie,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wpg_art_6,Artikel 6 Wet publieke gezondheid,https://wetten.overheid.nl/jci1.3:c:BWBR0024705&hoofdstuk=II&Paragraaf=4&artikel=6
erfbelasting,http://standaarden.overheid.nl/owms/terms/erfbelasting,X,,,,X,,,D6;G4,,,,,,X,,http://standaarden.overheid.nl/owms/terms/SW_art_5,Artikel 5 Successiewet 1956,https://wetten.overheid.nl/jci1.3:c:BWBR0002226&hoofdstuk=I&artikel=5
erfpacht,http://standaarden.overheid.nl/owms/terms/erfpacht,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_5_art_85,Artikel 85 Burgerlijk Wetboek Boek 5,https://wetten.overheid.nl/jci1.3:c:BWBR0005288&boek=5&titeldeel=7&artikel=85
erkenning kind,http://standaarden.overheid.nl/owms/terms/erkenning_kind,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_203,Artikel 203 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=203
erkenning kind vernietiging,http://standaarden.overheid.nl/owms/terms/erkenKindVern,X,,,,X,,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_205,Artikel 205 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=205
erkenning kind vernietiging,http://standaarden.overheid.nl/owms/terms/erkenKindVern,X,,,,X,,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_205a,Artikel 205a Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=205a
erkenning kind vervangende toestemming,http://standaarden.overheid.nl/owms/terms/erkenKindVervToest,X,,,,X,,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_204,Artikel 204 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=204
europese erfrechtverklaring,http://standaarden.overheid.nl/owms/terms/eurErfrechtVerklaring,X,,,,X,,,G4,,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_650_2012,"Artikel 62 Verordening (EU) nr. 650/2012 van het Europees Parlement en de Raad van 4 juli 2012 betreffende de bevoegdheid, ... van authentieke akten op het gebied van erfopvolging, alsmede betreffende de instelling van een Europese erfrechtverklaring",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32012R0650&from=NL
europese sociale zekerheidsverklaring,http://standaarden.overheid.nl/owms/terms/eusoczekverkl,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_987_2009_art_19,"Verordening (EG) Nr. 987/2009 van het Europees Parlement en de Raad van 16 september 2009 tot vaststelling van de wijze van toepassing van Verordening (EG) nr. 883/2004 betreffende de coördinatie van de socialezekerheidsstelsels, art. 19",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32009R0987&from=NL
europese ziekteverzekeringskaart,http://standaarden.overheid.nl/owms/terms/euziekteverzkrt,,,,,,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_987_2009_art_25,"Verordening (EG) Nr. 987/2009 van het Europees Parlement en de Raad van 16 september 2009 tot vaststelling van de wijze van toepassing van Verordening (EG) nr. 883/2004 betreffende de coördinatie van de socialezekerheidsstelsels, art. 25",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32009R0987&from=NL
evc erkenning,http://standaarden.overheid.nl/owms/terms/evcErkenning,X,,,,,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Stcrt_2016_59145,"Staatscourant 2016, 59145",https://zoek.officielebekendmakingen.nl/stcrt-2016-59145.html
evenementenmelding,http://standaarden.overheid.nl/owms/terms/evenementenmelding,,,,,,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_24,Artikel 2.24 Model Algemene plaatselijke verordening,
evenementenvergunning,http://standaarden.overheid.nl/owms/terms/evenementenvergunning,X,X,X,X,X,X,X,N1,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/BPR_art_1_23,Artikel 1.23 Binnenvaartpolitiereglement,https://wetten.overheid.nl/jci1.3:c:BWBR0003628&deel=I&hoofdstuk=1&artikel=1.23
evenementenvergunning,http://standaarden.overheid.nl/owms/terms/evenementenvergunning,X,X,X,X,X,X,X,N1,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_25,Artikel 2:25 Model Algemene plaatselijke verordening,
examenvak staatsexamen vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakStExVOOnth,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Staatsexamenbesluit_VO_art_11,Artikel 11 Staatsexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0011538&hoofdstuk=II&artikel=11
examenvak vavo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVavoOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_10,Artikel 10 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=10
examenvak vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_11,Artikel 11 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=11
examenvak vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_12,Artikel 12 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=12
examenvak vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_13,Artikel 13 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=13
examenvak vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_22,Artikel 22 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=22
examenvak vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_23,Artikel 23 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=23
examenvak vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_24,Artikel 24 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=24
examenvak vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVOOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_25,Artikel 25 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=II&artikel=25
experiment gebruik meststoffen ontheffing,http://standaarden.overheid.nl/owms/terms/experiment_gebruik_meststoffen_ontheffing_,,X,,,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Bgm_art_8,Artikel 8 Besluit gebruik meststoffen,https://wetten.overheid.nl/jci1.3:c:BWBR0009066&Paragraaf=5&artikel=8
expertisecentra onderwijsplan,http://standaarden.overheid.nl/owms/terms/expertisecentra_onderwijsplan,,X,,,,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/WEC_art_81,Artikel 81 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=IV&afdeling=2&artikel=81
extra onderwijsactiviteit basisschool vrijstelling,http://standaarden.overheid.nl/owms/terms/extrOnderwActBasisschVrijst,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WPO_art_41,Artikel 41 Wet op het primair onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0003420&hoofdstuk=I&titeldeel=II&afdeling=1&Paragraaf=4&artikel=41
faillissement,http://standaarden.overheid.nl/owms/terms/faillismt,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Fw_art_1,Artikel 1 Faillissementswet,https://wetten.overheid.nl/jci1.3:c:BWBR0001860&titeldeel=I&afdeling=Eerste&artikel=1
faunabeheereenheid,http://standaarden.overheid.nl/owms/terms/faunabeheereenheid,,X,,,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_natuurbescherming_art_3_12,Artikel 3.12 Wet natuurbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0037552&hoofdstuk=3&Paragraaf=3.4&artikel=3.12
faunabeheerplan,http://standaarden.overheid.nl/owms/terms/faunabeheerplan,,X,,,,X,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_natuurbescherming_art_3_12,Artikel 3.12 Wet natuurbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0037552&hoofdstuk=3&Paragraaf=3.4&artikel=3.12
fietsenregister,http://standaarden.overheid.nl/owms/terms/fietsenregister,X,,,,X,X,,H5,,,,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_70k,Artikel 70k Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=IVA&artikel=70k
financiële ondersteuning student bij bijzondere omstandigheden,http://standaarden.overheid.nl/owms/terms/finOnderstStudBijzOmst,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WHW_art_7_51,Artikel 7.51 Wet op het hoger onderwijs en wetenschappelijk onderzoek,https://wetten.overheid.nl/jci1.3:c:BWBR0005682&hoofdstuk=7&titeldeel=3&Paragraaf=2a&artikel=7.51
forensenbelasting,http://standaarden.overheid.nl/owms/terms/forensenbelasting,X,,,X,X,,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_223,Artikel 223 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=3
frequentiegebruik registratie,http://standaarden.overheid.nl/owms/terms/frequentiegebrReg,X,,,,X,X,X,A5,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Frequentiebesluit_2013_art_5,Artikel 5 Frequentiebesluit 2013,https://wetten.overheid.nl/jci1.3:c:BWBR0032895&hoofdstuk=2&Paragraaf=2.2&artikel=5
funderingsherstelsubsidie,http://standaarden.overheid.nl/owms/terms/funderingsherstelsubsidie,,,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
fytosanitair exportcertificaat,http://standaarden.overheid.nl/owms/terms/fytsanexpcert,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Reg_invoer_planten_art_15,"Artikel 15 Regeling invoer, uitvoer en verkeer van planten",https://wetten.overheid.nl/jci1.3:c:BWBR0005997&Paragraaf=3&artikel=15
garantverklaring verblijf in nederland,http://standaarden.overheid.nl/owms/terms/garVerklVerblNL,X,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/VB_art_2_11,Artikel 2.11 Vreemdelingenbesluit 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011825&hoofdstuk=2&afdeling=4&artikel=2.11
